name    ||  age     ||      gender
Fahd    ||  25      ||      Pria
Fahd    ||  25      ||      Pria
Ellie   ||  25      ||      Wanita
Jamal    ||  44      ||      Pria
Ani   ||  33      ||      Wanita
Budi    ||  11      ||      Pria
Hilman   ||  55      ||      Wanita
Dwayne    ||  40      ||      Pria
The Rock   ||  41      ||      Pria
Jhonson    ||  40      ||      Pria
Ellie1   ||  25      ||      Wanita
Fahd1    ||  25      ||      Pria
Ellie2   ||  25      ||      Wanita
Fahd2    ||  25      ||      Pria
Ellie3   ||  25      ||      Wanita
Fahd3    ||  25      ||      Pria
Ellie4   ||  25      ||      Wanita
Fahd4    ||  25      ||      Pria
Ellie5   ||  25      ||      Wanita
Fahd5    ||  25      ||      Pria
Ellie6   ||  25      ||      Wanita
Fahd6    ||  25      ||      Pria
Ellie7   ||  25      ||      Wanita
Fahd7    ||  25      ||      Pria
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie1   ||  25      ||      Wanita
Fahd1    ||  25      ||      Pria
Ellie2   ||  25      ||      Wanita
Fahd2    ||  25      ||      Pria
Ellie3   ||  25      ||      Wanita
Fahd3    ||  25      ||      Pria
Ellie4   ||  25      ||      Wanita
Fahd    ||  25      ||      Pria
Ellie   ||  25      ||      Wanita
Jamal    ||  44      ||      Pria
Ani   ||  33      ||      Wanita
Budi    ||  11      ||      Pria
Hilman   ||  55      ||      Wanita
Dwayne    ||  40      ||      Pria
The Rock   ||  41      ||      Pria
Jhonson    ||  40      ||      Pria
Ellie3   ||  25      ||      Wanita
Fahd3    ||  25      ||      Pria
Ellie4   ||  25      ||      Wanita
Fahd4    ||  25      ||      Pria
Ellie5   ||  25      ||      Wanita
Fahd5    ||  25      ||      Pria
Ellie6   ||  25      ||      Wanita
Fahd6    ||  25      ||      Pria
Ellie7   ||  25      ||      Wanita
Fahd7    ||  25      ||      Pria
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie1   ||  25      ||      Wanita
Fahd1    ||  25      ||      Pria
Ellie2   ||  25      ||      Wanita
Fahd2    ||  25      ||      Pria
Ellie3   ||  25      ||      Wanita
Fahd3    ||  25      ||      Pria
Ellie4   ||  25      ||      Wanita
Fahd4    ||  25      ||      Pria
Ellie5   ||  25      ||      Wanita
Fahd5    ||  25      ||      Pria
Ellie6   ||  25      ||      Wanita
Fahd6    ||  25      ||      Pria
Ellie7   ||  25      ||      Wanita
Fahd7    ||  25      ||      Pria
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie1   ||  25      ||      Wanita
Fahd1    ||  25      ||      Pria
Ellie2   ||  25      ||      Wanita
Fahd2    ||  25      ||      Pria
Ellie3   ||  25      ||      Wanita
Fahd3    ||  25      ||      Pria
Ellie4   ||  25      ||      Wanita
Fahd4    ||  25      ||      Pria
Ellie5   ||  25      ||      Wanita
Fahd5    ||  25      ||      Pria
Ellie6   ||  25      ||      Wanita
Fahd6    ||  25      ||      Pria
Ellie7   ||  25      ||      Wanita
Fahd7    ||  25      ||      Pria
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Ellie9   ||  25      ||      Wanita
Fahd    ||  25      ||      Pria
Ellie   ||  25      ||      Wanita
Jamal    ||  44      ||      Pria
Ani   ||  33      ||      Wanita
Budi    ||  11      ||      Pria
Hilman   ||  55      ||      Wanita
Dwayne    ||  40      ||      Pria
The Rock   ||  41      ||      Pria
Jhonson    ||  40      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie1   ||  25      ||      Wanita
Fahd1    ||  25      ||      Pria
Ellie2   ||  25      ||      Wanita
Fahd2    ||  25      ||      Pria
Ellie3   ||  25      ||      Wanita
Fahd3    ||  25      ||      Pria
Ellie4   ||  25      ||      Wanita
Fahd4    ||  25      ||      Pria
Ellie5   ||  25      ||      Wanita
Fahd5    ||  25      ||      Pria
Ellie6   ||  25      ||      Wanita
Fahd6    ||  25      ||      Pria
Ellie7   ||  25      ||      Wanita
Fahd7    ||  25      ||      Pria
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie1   ||  25      ||      Wanita
Fahd1    ||  25      ||      Pria
Ellie2   ||  25      ||      Wanita
Fahd2    ||  25      ||      Pria
Ellie3   ||  25      ||      Wanita
Fahd3    ||  25      ||      Pria
Ellie4   ||  25      ||      Wanita
Fahd4    ||  25      ||      Pria
Ellie5   ||  25      ||      Wanita
Fahd5    ||  25      ||      Pria
Ellie6   ||  25      ||      Wanita
Fahd6    ||  25      ||      Pria
Ellie7   ||  25      ||      Wanita
Fahd7    ||  25      ||      Pria
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie8   ||  25      ||      Wanita
Fahd8    ||  25      ||      Pria
Fahd    ||  25      ||      Pria
Ellie   ||  25      ||      Wanita
Jamal    ||  44      ||      Pria
Ani   ||  33      ||      Wanita
Budi    ||  11      ||      Pria
Hilman   ||  55      ||      Wanita
Dwayne    ||  40      ||      Pria
The Rock   ||  41      ||      Pria
Jhonson    ||  40      ||      Pria
Ellie9   ||  25      ||      Wanita
Ellie8   ||  25      ||      Wanita
