Customer(id=1, name=Fahd, age=25, gender=Pria)
Customer(id=2, name=Ellie, age=25, gender=Wanita)
Customer(id=3, name=Jamal, age=44, gender=Pria)
Customer(id=4, name=Ani, age=33, gender=Wanita)
Customer(id=5, name=Budi, age=11, gender=Pria)
Customer(id=6, name=Hilman, age=55, gender=Wanita)
Customer(id=7, name=Dwayne, age=40, gender=Pria)
Customer(id=8, name=The Rock, age=41, gender=Pria)
Customer(id=9, name=Jhonson, age=40, gender=Pria)
Customer(id=10, name=Ellie1, age=25, gender=Wanita)
Customer(id=11, name=Fahd1, age=25, gender=Pria)
Customer(id=12, name=Ellie2, age=25, gender=Wanita)
Customer(id=13, name=Fahd2, age=25, gender=Pria)
Customer(id=14, name=Ellie3, age=25, gender=Wanita)
Customer(id=15, name=Fahd3, age=25, gender=Pria)
Customer(id=16, name=Ellie4, age=25, gender=Wanita)
Customer(id=17, name=Fahd4, age=25, gender=Pria)
Customer(id=18, name=Ellie5, age=25, gender=Wanita)
Customer(id=19, name=Fahd5, age=25, gender=Pria)
Customer(id=20, name=Ellie6, age=25, gender=Wanita)
Customer(id=21, name=Fahd6, age=25, gender=Pria)
Customer(id=22, name=Ellie7, age=25, gender=Wanita)
Customer(id=23, name=Fahd7, age=25, gender=Pria)
Customer(id=24, name=Ellie8, age=25, gender=Wanita)
Customer(id=25, name=Fahd8, age=25, gender=Pria)
Customer(id=26, name=Ellie9, age=25, gender=Wanita)
Customer(id=27, name=Ellie1, age=25, gender=Wanita)
Customer(id=28, name=Fahd1, age=25, gender=Pria)
Customer(id=29, name=Ellie2, age=25, gender=Wanita)
Customer(id=30, name=Fahd2, age=25, gender=Pria)
Customer(id=31, name=Ellie3, age=25, gender=Wanita)
Customer(id=32, name=Fahd3, age=25, gender=Pria)
Customer(id=33, name=Ellie4, age=25, gender=Wanita)
Customer(id=34, name=Fahd, age=25, gender=Pria)
Customer(id=35, name=Ellie, age=25, gender=Wanita)
Customer(id=36, name=Jamal, age=44, gender=Pria)
Customer(id=37, name=Ani, age=33, gender=Wanita)
Customer(id=38, name=Budi, age=11, gender=Pria)
Customer(id=39, name=Hilman, age=55, gender=Wanita)
Customer(id=40, name=Dwayne, age=40, gender=Pria)
Customer(id=41, name=The Rock, age=41, gender=Pria)
Customer(id=42, name=Jhonson, age=40, gender=Pria)
Customer(id=43, name=Ellie3, age=25, gender=Wanita)
Customer(id=44, name=Fahd3, age=25, gender=Pria)
Customer(id=45, name=Ellie4, age=25, gender=Wanita)
Customer(id=46, name=Fahd4, age=25, gender=Pria)
Customer(id=47, name=Ellie5, age=25, gender=Wanita)
Customer(id=48, name=Fahd5, age=25, gender=Pria)
Customer(id=49, name=Ellie6, age=25, gender=Wanita)
Customer(id=50, name=Fahd6, age=25, gender=Pria)
Customer(id=51, name=Ellie7, age=25, gender=Wanita)
Customer(id=52, name=Fahd7, age=25, gender=Pria)
Customer(id=53, name=Ellie8, age=25, gender=Wanita)
Customer(id=54, name=Fahd8, age=25, gender=Pria)
Customer(id=55, name=Ellie9, age=25, gender=Wanita)
Customer(id=56, name=Ellie1, age=25, gender=Wanita)
Customer(id=57, name=Fahd1, age=25, gender=Pria)
Customer(id=58, name=Ellie2, age=25, gender=Wanita)
Customer(id=59, name=Fahd2, age=25, gender=Pria)
Customer(id=60, name=Ellie3, age=25, gender=Wanita)
Customer(id=61, name=Fahd3, age=25, gender=Pria)
Customer(id=62, name=Ellie4, age=25, gender=Wanita)
Customer(id=63, name=Fahd4, age=25, gender=Pria)
Customer(id=64, name=Ellie5, age=25, gender=Wanita)
Customer(id=65, name=Fahd5, age=25, gender=Pria)
Customer(id=66, name=Ellie6, age=25, gender=Wanita)
Customer(id=67, name=Fahd6, age=25, gender=Pria)
Customer(id=68, name=Ellie7, age=25, gender=Wanita)
Customer(id=69, name=Fahd7, age=25, gender=Pria)
Customer(id=70, name=Ellie8, age=25, gender=Wanita)
Customer(id=71, name=Fahd8, age=25, gender=Pria)
Customer(id=72, name=Ellie9, age=25, gender=Wanita)
Customer(id=73, name=Ellie1, age=25, gender=Wanita)
Customer(id=74, name=Fahd1, age=25, gender=Pria)
Customer(id=75, name=Ellie2, age=25, gender=Wanita)
Customer(id=76, name=Fahd2, age=25, gender=Pria)
Customer(id=77, name=Ellie3, age=25, gender=Wanita)
Customer(id=78, name=Fahd3, age=25, gender=Pria)
Customer(id=79, name=Ellie4, age=25, gender=Wanita)
Customer(id=80, name=Fahd4, age=25, gender=Pria)
Customer(id=81, name=Ellie5, age=25, gender=Wanita)
Customer(id=82, name=Fahd5, age=25, gender=Pria)
Customer(id=83, name=Ellie6, age=25, gender=Wanita)
Customer(id=84, name=Fahd6, age=25, gender=Pria)
Customer(id=85, name=Ellie7, age=25, gender=Wanita)
Customer(id=86, name=Fahd7, age=25, gender=Pria)
Customer(id=87, name=Ellie8, age=25, gender=Wanita)
Customer(id=88, name=Fahd8, age=25, gender=Pria)
Customer(id=89, name=Ellie9, age=25, gender=Wanita)
Customer(id=90, name=Fahd, age=25, gender=Pria)
Customer(id=91, name=Ellie, age=25, gender=Wanita)
Customer(id=92, name=Jamal, age=44, gender=Pria)
Customer(id=93, name=Ani, age=33, gender=Wanita)
Customer(id=94, name=Budi, age=11, gender=Pria)
Customer(id=95, name=Hilman, age=55, gender=Wanita)
Customer(id=96, name=Dwayne, age=40, gender=Pria)
Customer(id=97, name=The Rock, age=41, gender=Pria)
Customer(id=98, name=Jhonson, age=40, gender=Pria)
Customer(id=99, name=Ellie9, age=25, gender=Wanita)
Customer(id=100, name=Ellie1, age=25, gender=Wanita)
Customer(id=101, name=Fahd1, age=25, gender=Pria)
Customer(id=102, name=Ellie2, age=25, gender=Wanita)
Customer(id=103, name=Fahd2, age=25, gender=Pria)
Customer(id=104, name=Ellie3, age=25, gender=Wanita)
Customer(id=105, name=Fahd3, age=25, gender=Pria)
Customer(id=106, name=Ellie4, age=25, gender=Wanita)
Customer(id=107, name=Fahd4, age=25, gender=Pria)
Customer(id=108, name=Ellie5, age=25, gender=Wanita)
Customer(id=109, name=Fahd5, age=25, gender=Pria)
Customer(id=110, name=Ellie6, age=25, gender=Wanita)
Customer(id=111, name=Fahd6, age=25, gender=Pria)
Customer(id=112, name=Ellie7, age=25, gender=Wanita)
Customer(id=113, name=Fahd7, age=25, gender=Pria)
Customer(id=114, name=Ellie8, age=25, gender=Wanita)
Customer(id=115, name=Fahd8, age=25, gender=Pria)
Customer(id=116, name=Ellie9, age=25, gender=Wanita)
Customer(id=117, name=Ellie1, age=25, gender=Wanita)
Customer(id=118, name=Fahd1, age=25, gender=Pria)
Customer(id=119, name=Ellie2, age=25, gender=Wanita)
Customer(id=120, name=Fahd2, age=25, gender=Pria)
Customer(id=121, name=Ellie3, age=25, gender=Wanita)
Customer(id=122, name=Fahd3, age=25, gender=Pria)
Customer(id=123, name=Ellie4, age=25, gender=Wanita)
Customer(id=124, name=Fahd4, age=25, gender=Pria)
Customer(id=125, name=Ellie5, age=25, gender=Wanita)
Customer(id=126, name=Fahd5, age=25, gender=Pria)
Customer(id=127, name=Ellie6, age=25, gender=Wanita)
Customer(id=128, name=Fahd6, age=25, gender=Pria)
Customer(id=129, name=Ellie7, age=25, gender=Wanita)
Customer(id=130, name=Fahd7, age=25, gender=Pria)
Customer(id=131, name=Ellie8, age=25, gender=Wanita)
Customer(id=132, name=Fahd8, age=25, gender=Pria)
Customer(id=133, name=Ellie9, age=25, gender=Wanita)
Customer(id=134, name=Ellie8, age=25, gender=Wanita)
Customer(id=135, name=Fahd8, age=25, gender=Pria)
Customer(id=136, name=Ellie9, age=25, gender=Wanita)
Customer(id=137, name=Ellie8, age=25, gender=Wanita)
Customer(id=138, name=Fahd8, age=25, gender=Pria)
Customer(id=139, name=Fahd, age=25, gender=Pria)
Customer(id=140, name=Ellie, age=25, gender=Wanita)
Customer(id=141, name=Jamal, age=44, gender=Pria)
Customer(id=142, name=Ani, age=33, gender=Wanita)
Customer(id=143, name=Budi, age=11, gender=Pria)
Customer(id=144, name=Hilman, age=55, gender=Wanita)
Customer(id=145, name=Dwayne, age=40, gender=Pria)
Customer(id=146, name=The Rock, age=41, gender=Pria)
Customer(id=147, name=Jhonson, age=40, gender=Pria)
Customer(id=148, name=Ellie9, age=25, gender=Wanita)
Customer(id=149, name=Ellie8, age=25, gender=Wanita)
Customer(id=150, name=Ani, age=33, gender=Wanita)
Customer(id=151, name=Ellie, age=25, gender=Wanita)
Customer(id=152, name=Jamal, age=44, gender=Pria)
Customer(id=153, name=Fahd, age=25, gender=Pria)
Customer(id=154, name=The Rock, age=41, gender=Pria)
Customer(id=155, name=Budi, age=11, gender=Pria)
Customer(id=157, name=Dwayne, age=40, gender=Pria)
Customer(id=156, name=Hilman, age=55, gender=Wanita)
Customer(id=158, name=Ellie2, age=25, gender=Wanita)
Customer(id=159, name=Ellie1, age=25, gender=Wanita)
Customer(id=160, name=Fahd1, age=25, gender=Pria)
Customer(id=161, name=Jhonson, age=40, gender=Pria)
Customer(id=162, name=Ellie4, age=25, gender=Wanita)
Customer(id=163, name=Fahd2, age=25, gender=Pria)
Customer(id=164, name=Fahd3, age=25, gender=Pria)
Customer(id=165, name=Ellie3, age=25, gender=Wanita)
Customer(id=166, name=Ellie5, age=25, gender=Wanita)
Customer(id=167, name=Fahd4, age=25, gender=Pria)
Customer(id=168, name=Ellie6, age=25, gender=Wanita)
Customer(id=169, name=Ellie7, age=25, gender=Wanita)
Customer(id=170, name=Fahd5, age=25, gender=Pria)
Customer(id=171, name=Fahd7, age=25, gender=Pria)
Customer(id=172, name=Ellie1, age=25, gender=Wanita)
Customer(id=173, name=Fahd8, age=25, gender=Pria)
Customer(id=174, name=Fahd6, age=25, gender=Pria)
Customer(id=175, name=Ellie8, age=25, gender=Wanita)
Customer(id=176, name=Ellie3, age=25, gender=Wanita)
Customer(id=177, name=Ellie2, age=25, gender=Wanita)
Customer(id=178, name=Ellie9, age=25, gender=Wanita)
Customer(id=179, name=Fahd, age=25, gender=Pria)
Customer(id=180, name=Fahd2, age=25, gender=Pria)
Customer(id=181, name=Ellie4, age=25, gender=Wanita)
Customer(id=182, name=Fahd1, age=25, gender=Pria)
Customer(id=183, name=Ellie, age=25, gender=Wanita)
Customer(id=184, name=Budi, age=11, gender=Pria)
Customer(id=185, name=Ani, age=33, gender=Wanita)
Customer(id=186, name=Fahd3, age=25, gender=Pria)
Customer(id=187, name=Hilman, age=55, gender=Wanita)
Customer(id=188, name=Jamal, age=44, gender=Pria)
Customer(id=189, name=Dwayne, age=40, gender=Pria)
Customer(id=190, name=The Rock, age=41, gender=Pria)
Customer(id=191, name=Jhonson, age=40, gender=Pria)
Customer(id=192, name=Ellie3, age=25, gender=Wanita)
Customer(id=193, name=Ellie4, age=25, gender=Wanita)
Customer(id=194, name=Fahd5, age=25, gender=Pria)
Customer(id=195, name=Fahd6, age=25, gender=Pria)
Customer(id=196, name=Fahd7, age=25, gender=Pria)
Customer(id=197, name=Fahd3, age=25, gender=Pria)
Customer(id=198, name=Fahd1, age=25, gender=Pria)
Customer(id=199, name=Fahd4, age=25, gender=Pria)
Customer(id=200, name=Fahd3, age=25, gender=Pria)
Customer(id=201, name=Ellie5, age=25, gender=Wanita)
Customer(id=202, name=Fahd4, age=25, gender=Pria)
Customer(id=203, name=Ellie6, age=25, gender=Wanita)
Customer(id=204, name=Ellie7, age=25, gender=Wanita)
Customer(id=205, name=Ellie8, age=25, gender=Wanita)
Customer(id=206, name=Ellie1, age=25, gender=Wanita)
Customer(id=207, name=Ellie5, age=25, gender=Wanita)
Customer(id=208, name=Fahd7, age=25, gender=Pria)
Customer(id=209, name=Ellie9, age=25, gender=Wanita)
Customer(id=210, name=Ellie9, age=25, gender=Wanita)
Customer(id=211, name=Ellie2, age=25, gender=Wanita)
Customer(id=212, name=Fahd8, age=25, gender=Pria)
Customer(id=213, name=Ellie3, age=25, gender=Wanita)
Customer(id=215, name=Fahd2, age=25, gender=Pria)
Customer(id=214, name=Ellie6, age=25, gender=Wanita)
Customer(id=216, name=Ellie4, age=25, gender=Wanita)
Customer(id=217, name=Ellie7, age=25, gender=Wanita)
Customer(id=219, name=Ellie8, age=25, gender=Wanita)
Customer(id=218, name=Fahd5, age=25, gender=Pria)
Customer(id=220, name=Fahd6, age=25, gender=Pria)
Customer(id=221, name=Ellie1, age=25, gender=Wanita)
Customer(id=222, name=Fahd8, age=25, gender=Pria)
Customer(id=223, name=Ellie2, age=25, gender=Wanita)
Customer(id=224, name=Ellie3, age=25, gender=Wanita)
Customer(id=225, name=Fahd1, age=25, gender=Pria)
Customer(id=226, name=Ellie4, age=25, gender=Wanita)
Customer(id=227, name=Fahd2, age=25, gender=Pria)
Customer(id=228, name=Fahd3, age=25, gender=Pria)
Customer(id=229, name=Fahd4, age=25, gender=Pria)
Customer(id=230, name=Ellie5, age=25, gender=Wanita)
Customer(id=231, name=Fahd5, age=25, gender=Pria)
Customer(id=232, name=Ellie6, age=25, gender=Wanita)
Customer(id=233, name=Ellie7, age=25, gender=Wanita)
Customer(id=234, name=Ellie8, age=25, gender=Wanita)
Customer(id=235, name=Fahd, age=25, gender=Pria)
Customer(id=236, name=Budi, age=11, gender=Pria)
Customer(id=237, name=Fahd6, age=25, gender=Pria)
Customer(id=238, name=The Rock, age=41, gender=Pria)
Customer(id=239, name=Fahd7, age=25, gender=Pria)
Customer(id=240, name=Fahd8, age=25, gender=Pria)
Customer(id=241, name=Ellie1, age=25, gender=Wanita)
Customer(id=242, name=Fahd3, age=25, gender=Pria)
Customer(id=243, name=Ellie9, age=25, gender=Wanita)
Customer(id=244, name=Ellie, age=25, gender=Wanita)
Customer(id=245, name=Jamal, age=44, gender=Pria)
Customer(id=246, name=Hilman, age=55, gender=Wanita)
Customer(id=247, name=Ellie3, age=25, gender=Wanita)
Customer(id=248, name=Ellie5, age=25, gender=Wanita)
Customer(id=249, name=Fahd6, age=25, gender=Pria)
Customer(id=250, name=Ani, age=33, gender=Wanita)
Customer(id=251, name=Dwayne, age=40, gender=Pria)
Customer(id=252, name=Ellie9, age=25, gender=Wanita)
Customer(id=253, name=Ellie2, age=25, gender=Wanita)
Customer(id=254, name=Fahd4, age=25, gender=Pria)
Customer(id=255, name=Ellie6, age=25, gender=Wanita)
Customer(id=256, name=Fahd7, age=25, gender=Pria)
Customer(id=257, name=Fahd8, age=25, gender=Pria)
Customer(id=258, name=Ellie9, age=25, gender=Wanita)
Customer(id=259, name=Jhonson, age=40, gender=Pria)
Customer(id=260, name=Fahd1, age=25, gender=Pria)
Customer(id=261, name=Ellie1, age=25, gender=Wanita)
Customer(id=262, name=Fahd2, age=25, gender=Pria)
Customer(id=263, name=Ellie4, age=25, gender=Wanita)
Customer(id=264, name=Fahd5, age=25, gender=Pria)
Customer(id=265, name=Ellie7, age=25, gender=Wanita)
Customer(id=266, name=Ellie8, age=25, gender=Wanita)
Customer(id=267, name=Fahd1, age=25, gender=Pria)
Customer(id=268, name=Ellie2, age=25, gender=Wanita)
Customer(id=269, name=Fahd2, age=25, gender=Pria)
Customer(id=270, name=Ellie3, age=25, gender=Wanita)
Customer(id=271, name=Ellie4, age=25, gender=Wanita)
Customer(id=272, name=Fahd3, age=25, gender=Pria)
Customer(id=273, name=Fahd4, age=25, gender=Pria)
Customer(id=274, name=Ellie8, age=25, gender=Wanita)
Customer(id=275, name=Fahd5, age=25, gender=Pria)
Customer(id=276, name=Ellie5, age=25, gender=Wanita)
Customer(id=277, name=Ellie9, age=25, gender=Wanita)
Customer(id=278, name=Fahd6, age=25, gender=Pria)
Customer(id=279, name=Ellie6, age=25, gender=Wanita)
Customer(id=280, name=Fahd, age=25, gender=Pria)
Customer(id=281, name=Fahd7, age=25, gender=Pria)
Customer(id=282, name=Hilman, age=55, gender=Wanita)
Customer(id=283, name=Ellie9, age=25, gender=Wanita)
Customer(id=284, name=Ellie8, age=25, gender=Wanita)
Customer(id=285, name=The Rock, age=41, gender=Pria)
Customer(id=286, name=Fahd8, age=25, gender=Pria)
Customer(id=287, name=Fahd8, age=25, gender=Pria)
Customer(id=288, name=Ellie, age=25, gender=Wanita)
Customer(id=289, name=Ani, age=33, gender=Wanita)
Customer(id=290, name=Budi, age=11, gender=Pria)
Customer(id=291, name=Dwayne, age=40, gender=Pria)
Customer(id=292, name=Ellie9, age=25, gender=Wanita)
Customer(id=299, name=Fahd, age=25, gender=Pria)
Customer(id=303, name=Hilman, age=55, gender=Wanita)
Customer(id=307, name=Jhonson, age=40, gender=Pria)
Customer(id=309, name=Ellie2, age=25, gender=Wanita)
Customer(id=314, name=Ellie3, age=25, gender=Wanita)
Customer(id=316, name=Fahd4, age=25, gender=Pria)
Customer(id=318, name=Ellie7, age=25, gender=Wanita)
Customer(id=323, name=Fahd8, age=25, gender=Pria)
Customer(id=324, name=Fahd1, age=25, gender=Pria)
Customer(id=327, name=Fahd2, age=25, gender=Pria)
Customer(id=349, name=Ellie5, age=25, gender=Wanita)
Customer(id=350, name=Ellie6, age=25, gender=Wanita)
Customer(id=351, name=Ellie7, age=25, gender=Wanita)
Customer(id=352, name=Ellie8, age=25, gender=Wanita)
Customer(id=353, name=Ellie9, age=25, gender=Wanita)
Customer(id=354, name=Ellie1, age=25, gender=Wanita)
Customer(id=355, name=Fahd1, age=25, gender=Pria)
Customer(id=356, name=Ellie2, age=25, gender=Wanita)
Customer(id=357, name=Fahd2, age=25, gender=Pria)
Customer(id=358, name=Ellie3, age=25, gender=Wanita)
Customer(id=371, name=Fahd4, age=25, gender=Pria)
Customer(id=373, name=Ellie6, age=25, gender=Wanita)
Customer(id=375, name=Fahd7, age=25, gender=Pria)
Customer(id=377, name=Ellie8, age=25, gender=Wanita)
Customer(id=378, name=Ellie9, age=25, gender=Wanita)
Customer(id=381, name=Ellie, age=25, gender=Wanita)
Customer(id=382, name=Jamal, age=44, gender=Pria)
Customer(id=385, name=Budi, age=11, gender=Pria)
Customer(id=388, name=Dwayne, age=40, gender=Pria)
Customer(id=390, name=The Rock, age=41, gender=Pria)
Customer(id=429, name=Ellie4, age=25, gender=Wanita)
Customer(id=430, name=Ellie6, age=25, gender=Wanita)
Customer(id=431, name=Ellie8, age=25, gender=Wanita)
Customer(id=432, name=Fahd1, age=25, gender=Pria)
Customer(id=433, name=Fahd4, age=25, gender=Pria)
Customer(id=434, name=Ellie6, age=25, gender=Wanita)
Customer(id=435, name=Fahd7, age=25, gender=Pria)
Customer(id=436, name=Fahd8, age=25, gender=Pria)
Customer(id=437, name=Fahd, age=25, gender=Pria)
